feature,importance
Recency,0.738463853069176
DaysSinceFirstPurchase,0.11827916918554748
Frequency,0.07318986521284665
Monetary,0.03497338663751612
UniqueProducts,0.02444493130792744
QuantityPerOrder,0.006212725379944001
AvgPurchaseValue,0.004436069207042355
